,price,year,km,title,location
0,232999,2018,100, Suzuki Swift 5p Boosterjet L3/1.0/t Aut ,Distrito Federal
1,187999,2013,74861, Audi A3 3p Ambiente L4/1.4/t Aut ,Distrito Federal
2,537999,2018,25258, Bmw Serie 3 4p 330e Luxury Line Hibrido L4/2.0/t Aut ,Distrito Federal
3,349999,2011,101898, Jeep Wrangler 2p Sahara Aut 4x4 ,Distrito Federal
4,187999,2015,79660, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
5,202999,2015,96085, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
6,1097999,2019,11401, Mercedes-benz Clase Gle 5p Gle 400 Sport V6/3.0/t Aut ,Distrito Federal
7,234999,2015,74792, Volkswagen Beetle 2p Turbo L4/2.0/t Aut ,Distrito Federal
8,259999,2017,34838, Audi A1 3p Cool L4/1.4/t Aut ,Distrito Federal
9,142999,2013,67341, Volkswagen Crossfox 5p 5vel A/a Cd Mp3 Ee ,Distrito Federal
10,194999,2012,91199, Mercedes-benz Clase C 4p C 200 Cgi Sport Aut ,Distrito Federal
11,294999,2015,96060, Seat Leon 3p Cupra L4/2.0/t Aut ,Distrito Federal
12,129999,2013,99213, Fiat 500 3p Pop 5vel ,Distrito Federal
13,87999,2012,66130, Chevrolet Spark C 5p 5vel A/a Ee ,Distrito Federal
14,474999,2017,54012, Honda Odyssey 5p Exl V6/3.5 Aut ,Distrito Federal
15,269999,2013,86311, Bmw Serie 3 4p 328i Sedán Sport Line Aut ,Distrito Federal
16,327999,2013,61644, Bmw X5 5p X5 Xdrive35ia M Sport Man ,Distrito Federal
17,849999,2015,10920, Bmw X6 5p Xdrive 50i M Sport V8/4.4/t Aut ,Distrito Federal
18,214999,2014,97573, Jeep Compass 5p Limited 4x4 L4/2.4 Aut ,Distrito Federal
19,347999,2016,64959, Volkswagen Golf Gti L4/2.0 Aut ,Distrito Federal
20,289999,2012,87823, Bmw Serie 3 2p 335ia Coupe Bi-turbo ,Distrito Federal
21,282999,2013,48493, Mercedes-benz Clase Cla 4p Cla 200 Cgi Sport ,Distrito Federal
22,279999,2015,63225, Bmw Serie 3 4p 320i L4/2.0/t Man ,Distrito Federal
23,244999,2014,50590, Buick Regal 4p L4/2.0/t Aut ,Distrito Federal
24,777999,2019,19106, Mercedes-benz Clase E 2p E 300 Convertible L4/2.0/t Aut ,Distrito Federal
25,182999,2015,95588, Suzuki Swift 5p Sport L4/1.6 Man ,Distrito Federal
26,264999,2013,56141, Mini Paceman 3p Cooper S Paceman Hot Chili All 4 At ,Distrito Federal
27,367999,2016,67475, Bmw Serie 3 4p 330i Sedán Sport Line L6/3.0/t Aut ,Distrito Federal
28,232999,2012,36166, Nissan Murano 5p Sl Aut Ee A/a Piel Q/c 2wd Cvt ,Distrito Federal
29,329999,2018,33492, Nissan X-trail 5p Exclusive 2 L4/2.5 Aut ,Distrito Federal
30,209999,2013,84677, Honda Accord 2p Ex Coupe V6 Piel Abs Q/c Cd Aut 5 Vel. ,Distrito Federal
31,347999,2014,69566, Mercedes-benz Clase C 2p C 350 Coupé V6/3.5 Aut ,Distrito Federal
32,239999,2013,51894, Audi Q3 5p Q3 Trendy 2.0 Tfsi ,Distrito Federal
33,164999,2016,81313, Seat Ibiza 3p Sc Reference Blitz Coupé L4/1.6 Man ,Distrito Federal
34,372999,2017,39449, Renault Koleos 5p Iconic L4/2.5 Aut ,Distrito Federal
35,189999,2015,78043, Ford Focus 4p Se Appearance L4 2.0 Aut ,Distrito Federal
36,152999,2017,46612, Renault Stepway 5p Expression L4/1.6 Man ,Distrito Federal
37,489999,2013,74100, Land Rover Range Rover Sport 5p Supercharged V8/5.0/t Aut ,Distrito Federal
38,252999,2015,37569, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
39,189999,2013,57831, Ford Fusion 4p Se Luxury L4 Piel ,Distrito Federal
40,317999,2016,74973, Bmw Serie 3 4p 320i L4/2.0/t Aut ,Distrito Federal
41,219999,2015,86287, Mazda Mazda 3 5p Hatchback I Touring L4/2.0 Man ,Distrito Federal
42,244999,2018,100, Hyundai Creta 4p Gls L4/1.6 Man ,Distrito Federal
43,549999,2017,39357, Infiniti Qx60 5p Qx60 Perfection V6/3.5 Aut ,Distrito Federal
44,312999,2016,39324, Mini Cooper Countryman S Hot Chili L4/1.6/t Aut ,Distrito Federal
45,249999,2013,91481, Ford Explorer 5p Xlt V6 4x2 Tela Sync ,Distrito Federal
46,312999,2017,41280, Ford Fusion 4p Sport V6/2.7 Aut ,Distrito Federal
47,127999,2010,70830, Seat Ibiza 3p Sport Coupe 5vel Esp ,Distrito Federal
48,312999,2014,66307, Dodge Durango 5p Limited V6/3.6 Aut ,Distrito Federal
49,224999,2010,93051, Audi Q5 5p 3.0 Tdi Luxury Quattro Stronic ,Distrito Federal
50,304999,2014,91157, Dodge Durango 5p Limited V6/3.6 Aut ,Distrito Federal
51,207999,2013,61550, Ford Escape 5p Se Plus Aut Piel Limited T/pano ,Distrito Federal
52,192999,2014,101683, Ford Fusion 4p Se Luxury L4/2.0/t Aut ,Distrito Federal
53,274999,2016,57344, Mini Cooper 5p Pepper L3/1.5/t Man ,Distrito Federal
54,187999,2014,54370, Nissan Altima 4p Exclusive V6/3.5 Aut ,Distrito Federal
55,457999,2016,45393, Mercedes-benz Clase Glc 5p Glc 300 Off Road L4/2.0/t Aut ,Distrito Federal
56,429999,2016,52380, Gmc Acadia 5p Denali V6/3.6 Aut ,Distrito Federal
57,519999,2017,49160, Ford Focus 5p Rs L4/2.3/t Man ,Distrito Federal
58,219999,2014,80262, Nissan X-trail 5p Advance L4/2.5 Aut Piel ,Distrito Federal
59,287999,2017,13376, Audi A1 3p Urban L4/1.4/t Aut ,Distrito Federal
60,327999,2018,17592, Audi A1 5p Cool L4/1.4/t Aut ,Distrito Federal
61,324999,2017,61557, Nissan X-trail 5p Exclusive 3 L4/2.5 Aut Banca Abatible ,Distrito Federal
62,294999,2012,68116, Bmw Serie 3 4p 335ia Luxury Aut ,Distrito Federal
63,729999,2018,6640, Ford Explorer 5p Platino V6/3.5 Gtdi Aut ,Distrito Federal
64,377999,2016,68188, Mini Cooper S J Cooper Works Countryman Hot Chili L4/1.6 Aut A4 ,Distrito Federal
